# Ohio State Mathematics faculty MGP roster
# OSU faculty source: https://math.osu.edu/people
# MGP source: https://www.genealogy.math.ndsu.nodak.edu/
# Generated: 2026-07-13
#
# Scope: Chair, Faculty and Faculty sections only. Postdocs & Visitors are excluded.
#
# Columns:
# osu_name	mgp_id	mgp_name	mgp_degree_school	mgp_degree_year	osu_phd_from_profile	verification_status	note

Krystal Taylor	164389	Taylor, Krystal	University of Rochester	2012	not listed on OSU profile	osu phd not listed	
Daniel Thompson	150530	Thompson, Daniel	University of Warwick	2009	PhD: University of Warwick (2009)	checked	
Fei-Ran Tian	33699	Tian, Feiran	New York University	1991	PhD: Courant Institute, New York University (1991)	checked	MGP lists first name as Feiran.
Joseph Tien	144025	Tien, Joseph	Cornell University	2007	PhD: Cornell University (2007)	checked	
Feride Tiglay	87003	Tiglay, Feride	University of Notre Dame	2004	OSU profile says Ph.D. from University of Notre Dame; year not listed	osu phd year not listed	
Hsian-Hua Tseng	93517	Tseng, Hsian-Hua	University of California, Berkeley	2005	Ph.D. University of California at Berkeley (2005)	checked	
Liz Vivas	345903	Vivas, Liz	University of Michigan	2009	PhD: University of Michigan (2009)	checked	
Yulong Xing	98558	Xing, Yulong	Brown University	2006	PhD: Brown University (2006)	checked	
Dongbin Xiu	92079	Xiu, Dongbin	Brown University	2004	PhD-Applied Mathematics: Brown University (2004)	checked	
Zhuolun Yang	273037	Yang, Zhuolun	Rutgers University, New Brunswick	2021	PhD: Rutgers University (2021)	checked	
Donald Yau	61519	Yau, Donald	Massachusetts Institute of Technology	2002	PhD: Massachusetts Institute of Technology (2002)	checked	
Anna Yesypenko	345879	Yesypenko, Anna	University of Texas at Austin	2023	The University of Texas at Austin, 2023	checked	
Mohamed Yousif	170146	Yousif, M. F.	University of Calgary	1986	1986: The University of Calgary, Calgary, Alberta.	checked	MGP lists him as M. F. Yousif.
Linfeng Zhang	345881	Zhang, Linfeng	University of Illinois at Urbana-Champaign	2023	not listed on OSU profile	osu phd not listed	
Scott Zimmerman	219890	Zimmerman, Scott	University of Pittsburgh	2017	not listed on OSU profile	osu phd not listed	

# Missing or unresolved regular faculty MGP IDs
# Columns:
# osu_name	mgp_id	mgp_name	mgp_degree_school	mgp_degree_year	osu_phd_from_profile	verification_status	note
Ian Hamilton	MISSING				PhD: Simon Fraser University - Biology (2002)	missing	No matching MGP record found.
